0.0349,0.5347,0.1201,3.5867,0.197,12.3471,0.0573,18.9525,0.1195,38.6269, H
0.0317,0.2507,0.0838,1.4751,0.1526,4.4938,0.1334,12.6646,0.0164,31.1653, He
0.075,0.3864,0.2249,2.9383,0.5548,15.3829,1.4954,53.5545,0.9354,138.7337, Li
0.0046,0.0358,0.0165,0.239,0.0435,0.879,0.0649,2.64,0.027,7.09, Li+1
0.078,0.3131,0.221,2.2381,0.674,10.1517,1.3867,30.9061,0.6925,78.3273, Be
0.0034,0.0267,0.0103,0.162,0.0233,0.531,0.0325,1.48,0.012,3.88, Be+2
0.0909,0.2995,0.2551,2.1155,0.7738,8.3816,1.2136,24.1292,0.4606,63.1314, B
0.0893,0.2465,0.2563,1.71,0.757,6.4094,1.0487,18.6113,0.3575,50.2523, C
0.1022,0.2451,0.3219,1.7481,0.7982,6.1925,0.8197,17.3894,0.1715,48.1431, N
0.0974,0.2067,0.2921,1.3815,0.691,4.6943,0.699,12.7105,0.2039,32.4726, O
0.205,0.397,0.628,0.264,1.17,8.8,1.03,27.1,0.29,91.8, O-1
0.1083,0.2057,0.3175,1.3439,0.6487,4.2788,0.5846,11.3932,0.1421,28.7881, F
0.134,0.228,0.391,1.47,0.814,4.68,0.928,13.2,0.347,36, F-1
0.1269,0.22,0.3535,1.3779,0.5582,4.0203,0.4674,9.4934,0.146,23.1278, Ne
0.2142,0.334,0.6853,2.3446,0.7692,10.083,1.6589,48.3037,1.4482,137.27, Na
0.0256,0.0397,0.0919,0.287,0.297,1.18,0.514,3.75,0.199,10.8, Na+1
0.2314,0.3278,0.6866,2.272,0.9677,10.9241,2.1182,32.2898,1.1339,101.9748, Mg
0.021,0.0331,0.0672,0.222,0.198,0.838,0.368,2.48,0.174,6.75, Mg+2
0.239,0.3138,0.6573,2.1063,1.2011,10.4163,2.5586,34.4552,1.2312,98.5344, Al
0.0192,0.0306,0.0579,0.198,0.163,0.713,0.284,2.04,0.114,5.25, Al+3
0.2519,0.3075,0.6372,2.0174,1.3795,9.6746,2.5082,29.3744,1.05,80.4732, Si_v
0.192,0.359,0.289,1.96,0.1,9.34,-0.0728,11.1,0.0012,13.4, Si+4
0.2548,0.2908,0.6106,1.874,1.4541,8.5176,2.3204,24.3434,0.8477,63.2996, P
0.2497,0.2681,0.5628,1.6711,1.3899,7.0267,2.1865,19.5377,0.7715,50.3888, S
0.2443,0.2468,0.5397,1.5242,1.3919,6.1537,2.0197,16.6687,0.6621,42.3086, Cl
0.265,0.252,0.596,1.56,1.6,6.21,2.69,17.8,1.23,47.8, Cl-1
0.2385,0.2289,0.5017,1.3694,1.3128,5.2561,1.8899,14.0928,0.6079,35.5361,Ar
0.4115,0.3703,1.4031,3.3874,2.2784,13.1029,2.6742,68.9592,2.2162,194.4329,K
0.199,0.192,0.396,1.1,0.928,3.91,1.45,9.75,0.45,23.4,K+1
0.4054,0.3499,1.88,3.0991,2.1602,11.9608,3.7532,53.9353,2.2063,142.3892,Ca
0.164,0.157,0.327,0.894,0.743,3.15,1.16,7.67,0.307,17.7,Ca+2
0.3787,0.3133,1.2181,2.5856,2.0594,9.5813,3.2618,41.7688,2.387,116.7282,Sc
0.163,0.157,0.307,0.899,0.716,3.06,0.88,7.05,0.139,16.1,Sc+3
0.3825,0.304,1.2598,2.4863,2.0008,9.2783,3.0617,39.0751,2.0694,109.4583,Ti
0.399,0.376,1.04,2.74,1.21,8.1,-0.0797,14.2,0.352,23.2,Ti+2
0.364,0.364,0.919,2.67,1.35,8.18,-0.933,11.8,0.589,14.9,Ti+3
0.116,0.108,0.256,0.655,0.565,2.38,0.772,5.51,0.32,12.3,Ti+4
0.3876,0.2967,1.275,2.378,1.9109,8.7981,2.8314,35.9528,1.8979,101.7201,V
0.317,0.269,0.939,2.09,1.49,7.22,-1.31,15.2,1.47,17.6,V+2
0.341,0.321,0.805,2.23,0.942,5.99,0.0783,13.4,0.156,16.9,V+3
0.0367,0.033,0.124,0.222,0.244,0.824,0.723,2.8,0.435,6.7,V+5
0.4046,0.2986,1.3696,2.3958,1.8941,9.1406,2.08,37.4701,1.2196,113.7121,Cr
0.237,0.177,0.634,1.35,1.23,4.3,0.713,12.2,0.0859,39,Cr+2
